,id,Ah,Ah_err,E(J-H),E(J-H)_err,(J-H),(J-H)_err,BCh,(J-H)0,Rh,Rh_err
1,SMC X-1,0.0193200000000002,0.0195206659722459,0.042000000000000384,0.042426406871192854,-0.06799999999999962,0.042426406871192854,-3.47,-0.11,0.46,0.01
2,LMC X-4,-0.0386399999999996,0.0195342161347723,-0.08399999999999906,0.042426406871192854,-0.19399999999999906,0.042426406871192854,-3.9,-0.11,0.46,0.01
3,Vela X-1,0.109480000000000,0.0196607324380350,0.2380000000000001,0.042426406871192854,0.1280000000000001,0.042426406871192854,-3.3800000000000003,-0.11,0.46,0.01
4,Cen X-3,0.246100000000000,0.0202361681155302,0.5350000000000007,0.042426406871192854,0.4250000000000007,0.042426406871192854,-4.18,-0.11,0.46,0.01
6,4U1538-52,0.256680000000000,0.0202981871111683,0.5580000000000004,0.042426406871192854,0.4480000000000004,0.042426406871192854,-3.47,-0.11,0.46,0.01
7,4U1700-37,0.0988999999999998,0.0196342175805404,0.21499999999999952,0.042426406871192854,0.10499999999999954,0.042426406871192854,-4.15,-0.11,0.46,0.01
