,vsini70,vsini80,vsini90,vsini100,vsini110,vsini120,vsini130,vsini140,vsini150,vsini160,vsini170,vsini180,vsini190,vsini200,vsini210,vsini220,vsini230,vsini240,vsini250,vsini260,vsini270,vsini280,vsini290,vsini300,vsini310,vsini320,vsini330
T24000logg3.8,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T24000logg4.0,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T24000logg4.2,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T25000logg2.8,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T25000logg3.0,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T25000logg3.2,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T25000logg3.4,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T25000logg3.6,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T25000logg3.8,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T25000logg4.0,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T25000logg4.2,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T25000logg4.4,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T26000logg3.0,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T26000logg3.2,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T26000logg3.4,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T26000logg3.6,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T26000logg3.8,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T26000logg4.0,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T26000logg4.2,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T26000logg4.4,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T27000logg3.0,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T27000logg3.2,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T27000logg3.4,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T27000logg3.6,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T27000logg3.8,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T27000logg4.0,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T27000logg4.2,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T27000logg4.4,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T28000logg3.0,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T28000logg3.2,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T28000logg3.4,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T28000logg3.6,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T28000logg3.8,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T28000logg4.0,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T28000logg4.2,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T28000logg4.4,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T29000logg3.2,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T29000logg3.4,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T29000logg3.6,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T29000logg3.8,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T29000logg4.0,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T29000logg4.2,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T29000logg4.4,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T30000logg3.2,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T30000logg3.4,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T30000logg3.6,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T30000logg3.8,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T30000logg4.0,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T30000logg4.2,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T30000logg4.4,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T31000logg3.2,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T31000logg3.4,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T31000logg3.6,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
T31000logg3.8,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976,17976
