,id,ST,ST_ref,ruwe,J,H,K,JHK_ref,JHK_err,B,B_err,B_source,V,V_err,V_source,semi_eclipse_angle,semi_eclipse_angle _err,a,a_err,i,i_err,Mopt,Mopt_err,Ropt,Ropt_err,P_orbit,P_spin,RL/a,RL/a_err,Mx,Mx_err,source_id,ra,ra_error,dec_error,dec,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,flag,L_true,L_true_err_low,L_true_err_high,LBV_true,LBV_true_err_low,LBV_true_err_high,LGAIA_true,logL_true/L_sun,logL_true/L_sun_err_high,logL_true/L_sun_err_low,Teff,Teff_err,logTeff,logTeff_err,L_ST,L_ST_err,R_true,R_true_err,R_expected,R_expected_err_high,R_expected_err_low,R_ST,R_ST_err,R_expected/R_true,R_expected/R_true_err_high,R_expected/R_true_err_low,M_exp,M_HRD,M_exp_err,M_opt/M_exp,M_ST,M_ST_err,M_opt/M_exp_err,Kx,Kopt,q,Ohmega,Mns,Kx_err,Kopt_err,q_err,Ohmega_err,Mns_err,RL_fal,RL_fal_err,RL_q,RL_q_err,RL_g,RL_g_err,RL_fal/R_true,RL_fal/R_true_err,R_true/RL_fal,R_true/RL_fal_err,RL_q/R_true,RL_q/R_true_err,RL_g/R_true,RL_g/R_true_err,X_rayFlux_SWIFTXRT,SWIFTXRT_range,SWIFT_id,L_x,vsin(i)
0,SMC X-1,B0Ib,Van der Meer et al. (2007),1.0028902,13.445,13.513,13.474,2MASS,0.03,13.0,,MC survey,13.15,,MC survey,23.0,2.0,27.9,0.7,62.0,2.0,18.0,2.0,15.0,1.0,3.89220909,0.71,0.61,0.02,1.21,0.12,4686397666038575104,19.271456284201804,0.02277063,0.021735583,-73.44334343347884,62440.0,58440.0,66440.0,62440.0,58440.0,66440.0,10022,300229.794355759,48396.8794130719,48396.8794130719,271797.70716278173,892121.155334745,892121.155334745,451421.69672434725,5.47745378878076,0.0700080340644946,0.0700080340644946,29558.0,1446,4.470675044798936,0.02124601870329867,338844.15613920277,6.753050539950787,15.0,1.0,20.894402940746133,2.648672087744581,2.648672087744581,22.459999999999997,3.3689999999999993,1.3929601960497422,0.19950830599446978,0.19950830599446978,31.2,33,2.0,0.576923076923077,26.029999999999998,10.411999999999999,0.07400557702072798,299.631,20.0,0.067,0.91,1.21,0.005,1,0.004,0.02,0.12,17.019,0.7026329055773007,16.9786936673335,0.524823344586292,17.1444782121107,0.561506919316023,1.1345999999999998,0.08896966174551363,0.8813678829543452,0.06911246467460563,1.13191291115557,0.0831776247012892,1.14296521414071,0.0848962635266121,992.4,0.3-10.0 keV,J0117.8-7327,4.630354606355152e+39,166.0
1,LMC X-4,O8III,Van der Meer et al. (2007),1.0144804,14.586,14.78,14.75,2MASS,0.03,13.9,,,14.0,,,15.8,0.8,14.2,0.2,59.3,0.9,18.0,1.0,7.4,0.4,1.40839776,13.5,0.59,0.01,1.57,0.11,4660300345280168192,83.20650116570275,0.021186251,0.02190675,-66.37033228204352,48590.0,44590.0,52590.0,48590.0,44590.0,52590.0,10012,79732.9436639796,15269.9527398554,15269.9527398554,145980.14749840315,639935.775678085,639935.775678085,97315.48650285337,4.901637798126013,0.0831733523070536,0.0831733523070536,33961.0,1446,4.530980469795938,0.01849149968587798,223872.11385683378,6.345999009812867,7.4,0.4,8.156636723570964,1.0452279270821438,1.0452279270821438,13.74,2.061,1.1022482058879681,0.15329909825864266,0.15329909825864266,20.4,21,1.5,0.8823529411764707,25.49,10.196,0.08131539015111636,407.8,35.0,0.086,0.97,1.57,0.3,2,0.004,0.13,0.11,8.377999999999998,0.18462935844550832,8.36188984223463,0.153362041572946,8.40461890165117,0.161788951254784,1.1321621621621618,0.06608848488743284,0.8832656958701363,0.05155947932548939,1.12998511381549,0.0645004590821991,1.13575931103394,0.0651692658649038,0.0,-,J0532.5-6623A,0.0,222.0
2,Vela X-1,B0.5Ib,Barziv et al. (2001),0.8801971,5.833,5.705,5.596,2MASS,0.03,7.37,,2002yCat.2237....0D,6.87,,2002yCat.2237....0D,30.5,0.1,59.6,0.7,72.8,0.4,26.0,1.0,29.0,1.0,8.964368,283.2,0.595,0.006,2.12,0.16,5620657678322625920,135.5285587975077,0.010860206,0.012674867,-40.55465296117549,1960.9159,1907.9954,2018.4348,1969.4784,1901.437,2029.5931,10033,396729.453662231,47522.5832573603,45754.9129785917,588169.4243457312,664.846237977765,641.020001615200,3223150.051098888,5.598494444205274,0.0500872976360454,0.0520223428937318,28653.0,1446,4.457170099784619,0.02191707049286644,309029.5432513592,6.6603952129842305,29.0,1.0,25.55996079800955,2.9711740755214526,2.999829201201236,22.809999999999995,3.421499999999999,0.8813779585520534,0.10686708433041653,0.10781475692125517,35.4,36,2.6,0.7344632768361582,24.229999999999997,9.692,0.06089251162073348,278.1,23.0,0.081,0.67,2.12,0.3,2,0.005,0.04,0.16,35.461999999999996,0.5489535590557729,35.4052971460730,0.567412643709415,35.6245588455414,0.606100165163492,1.2228275862068965,0.04622049871317263,0.8177767751395861,0.030910367748774738,1.22087231538183,0.0464236593334280,1.22843306363936,0.0472351518932672,1759.0,0.3-10.0 keV,,8.165259491353516e+36,104.0
3,Cen X-3,O6.5III,Van der Meer et al. (2007),1.0207037,10.736,10.311,10.093,2MASS,0.03,14.4,,,13.4,0.08,Integral,27.9,0.3,20.2,0.4,65.0,1.0,24.0,1.0,11.4,0.7,2.087113936,4.8,0.63,0.01,1.57,0.16,5337498593446516480,170.3128552789008,0.0116339,0.011172204,-60.62377582639316,6784.6416,6212.58,7418.782,6752.4946,6297.3564,7431.1533,10033,158843.150067401,26468.5002741508,35517.9894484540,154357.76836279596,10773.4691882912,14398.2972735255,8856234.981376776,5.200968491104793,0.0971100536549179,0.0723677641021394,37134.0,1446,4.569771733076458,0.016911450983791192,346736.85045253165,6.77641507610675,11.4,0.7,9.629282770838849,1.3120234997727915,1.0982003972338938,14.36,2.154,0.8446739272665656,0.126236815749362,0.10940838111289963,46.4,48,5.3,0.5172413793103449,31.96,12.784,0.06288954304728687,414.317,28.0,0.066,0.75,1.57,0.009,2,0.005,0.13,0.16,12.725999999999999,0.32296749062405644,12.3332840935839,0.293733098903704,12.4606188207816,0.313368383375237,1.1163157894736842,0.07416960328545887,0.8958038661008959,0.05951847854952341,1.08186702575297,0.0712523131699290,1.09303673866505,0.0725273166087434,3861.0,0.3-10.0 keV,,2.1068324565385466e+38,204.0
4,4U1538-52,B0Ia,Kaper (2001),0.98579085,10.358,9.91,9.677,2MASS,0.03,16.3,,,14.5,,2014MNRAS.440.1626M,21.0,1.0,22.0,1.0,67.0,1.0,16.0,2.0,13.0,1.0,3.728382,526.8,0.53,0.03,1.02,0.17,5886085557746480000,235.59729827776863,0.010904525,0.009432026,-52.38601199162066,5614.2314,5179.285,6103.27,5535.3643,5091.0376,5887.9526,10033,81089.4616054329,15250.3098482039,13031.3209878923,206581.97109951964,8154.72429597491,6986.53397490406,3826766.2663709624,4.9089644169239275,0.0697924327638216,0.0816767713493616,29558.0,1446,4.470675044798936,0.02124601870329867,338844.15613920277,6.753050539950787,13.0,1.0,10.858886148444396,1.374810899820158,1.473584532108975,22.459999999999997,3.3689999999999993,0.8352989344957228,0.12374408886089003,0.13029724059529665,19.8,19,1.0,0.8080808080808081,26.029999999999998,10.411999999999999,0.10894343979867331,316.0,20.0,0.06,0.91,1.02,10.0,3,0.01,0.02,0.17,11.66,0.8464632301523793,13.4738464692258,0.697890522579867,13.6202871679336,0.736054300723327,0.8969230769230769,0.0948674255863394,1.1149228130360205,0.11792522650108828,1.03644972840199,0.0961162763836905,1.04771439753336,0.0984940268639758,271.9,0.3-10.0 keV,,9.970187642996289e+36,144.0
5,4U1700-37,O6Iaf+,Van der Meer et al. (2005),0.8081919,5.744,5.639,5.496,2MASS,0.03,6.78,,2002yCat.2237....0D,6.51,,2002yCat.2237....0D,32.0,1.0,35.0,1.0,62.0,1.0,46.0,5.0,22.0,2.0,3.411581,,0.694,0.006,1.96,0.19,5976382915813535232,255.9865659301791,0.021049444,0.012138224,-37.8441202722809,1499.6696,1442.5804,1550.4056,1513.9932,1461.3417,1592.3752,10033,501427.154383974,60194.6007196830,71433.1665275928,505181.9781251811,393.722067802901,464.801837968263,,5.700207849127171,0.0618694655376667,0.0521355548943988,36801.0,1446,4.5658596199936605,0.01706447707486487,645654.2290346549,7.438750629075669,22.0,2.0,17.41958665145513,1.8475659251827974,1.7225467927864253,19.95,2.9924999999999997,0.7917993932479604,0.11060768438035083,0.1063573480069069,44.0,45,4.0,1.0454545454545454,44.1,17.64,0.1481420807458128,435.0,19.0,0.043,0.47,1.96,10.0,1,0.002,0.04,0.19,24.29,0.7250765476830705,22.4221610513527,0.725547330706974,22.8935123222757,0.789865059918885,1.104090909090909,0.1056444503060745,0.9057225195553726,0.08666365869006683,1.01918913869785,0.0983479752577705,1.04061419646708,0.101185110177149,1157.0,0.3-10.0 keV,,3.173824552965539e+36,116.0
6,XTE J1855-026,B0Iaep,Falenga et al. (2015) ,,10.564,10.089,9.799,2MASS,0.03,16.451,0.07,2012yCat.1322....0Z,14.512,0.01,,32.0,1.0,40.0,1.0,71.0,2.0,21.0,2.0,22.0,2.0,6.0724,360.7,0.63,0.03,1.41,0.24,4255891924062617088,283.8766800200503,0.014235792,0.014256109,-2.604679419397789,7731.999,6996.186,8822.101,7386.871,6600.535,8207.93,10033,123868.543112800,29030.0581497969,30091.8813295830,548076.3088276065,18050.6818485954,18704.9517781614,6082426.500295837,5.092961029644154,0.105504898040372,0.101782048508525,29558.0,1446,4.470675044798936,0.02124601870329867,338844.15613920277,6.753050539950787,22.0,2.0,13.420960126745273,2.093291124678038,2.048811083064646,22.459999999999997,3.3689999999999993,0.6100436421247851,0.1101321587183954,0.10839017211780463,21.6,23,1.8,0.9722222222222222,26.029999999999998,10.411999999999999,0.12303409505479918,289.0,20.0,0.07,0.91,1.41,5.0,3,0.01,0.02,0.24,25.2,1.355322839769182,24.3456988380619,0.837603369001304,24.5840014566283,0.914850837188637,1.1454545454545455,0.12099078291861805,0.873015873015873,0.092213937598594,1.10662267445736,0.107565417134582,1.11745461166492,0.109768457387590,218.7,0.3-10.0 keV,,1.4281424232823252e+37,
