id,M_HRD,M_opt,M_opt_err,M_exp,M_exp_err,M_opt/M_exp,R_true,R_true_err,R_expected,R_expected_err_high,R_expected_err_low,ST,R_expected/R_true,L_true,L_true_err_low,L_true_err_high,logL_true/L_sun,logL_true/L_sun_err_high,logL_true/L_sun_err_low,Teff,Teff_err,logTeff,logTeff_err,M_opt/M_exp_err,R_expected/R_true_err_high,R_expected/R_true_err_low
SMC X-1,33,18.0,2.0,31.2,2.0,0.576923076923077,15.0,1.0,21.4164283825713,15.4438511822310,17.3843640627524,B0Ib,1.42776189217142,315419.070772052,508337.004177399,450704.400318920,5.498887947967775,0.620566263000242,0.699919492252326,29558.0,1446,4.470675044798936,0.02124601870329867,0.1171040807059824,0.727376463722298,0.817291939886513
Vela X-1,36,26.0,1.0,35.4,2.6,0.7344632768361582,29.0,1.0,25.5599607980095,2.97117407552145,2.99982920120124,B0.5Ib,0.881377958552053,396729.453662231,47522.5832573603,45754.9129785917,5.598494444205274,0.0500872976360454,0.0520223428937318,28653.0,1446,4.457170099784619,0.02191707049286644,0.06625107706727865,0.120150731506248,0.121235698206565
LMC X-4,21,18.0,1.0,20.4,1.5,0.8823529411764707,7.4,0.4,8.51468489012221,5.56384809789307,6.40605473703640,O8III,1.15063309325976,79156.0307734173,118304.625181385,102523.195392317,4.898484008672038,0.562499882711716,0.649085677969116,33179.0,1446,4.520863292447035,0.018927328154317552,0.08541481414496976,0.656394795406715,0.754920187730507
4U1700-37,45,46.0,5.0,44.0,4.0,1.0454545454545454,22.0,2.0,17.4195866514551,1.84756592518280,1.72254679278643,O6Iaf+,0.791799393247960,501427.154383974,60194.6007196830,71433.1665275928,5.700207849127171,0.0618694655376667,0.0521355548943988,36801.0,1446,4.5658596199936605,0.01706447707486487,0.1443869722264282,0.128182059922037,0.122310023882940
4U1538-52,19,16.0,2.0,19.8,1.0,0.8080808080808081,13.0,1.0,10.8588861484444,1.37481089982016,1.47358453210898,B0Ia,0.835298934495723,81089.4616054329,15250.3098482039,13031.3209878923,4.9089644169239275,0.0697924327638216,0.0816767713493616,29558.0,1446,4.470675044798936,0.02124601870329867,0.13149384992879457,0.141978436244812,0.150146188905286
Cen X-3,48,24.0,1.0,46.4,5.3,0.5172413793103449,11.4,0.7,19.7719494330861,2.72458215993803,2.29140374361602,O6.5III,1.73438152921808,584693.8032751073,97415.1008700270,130729.428234661,5.766928491104792,0.0971022251076722,0.0723572586624377,35895.0,1446,4.555033957669119,0.017495189325312775,0.07229611969179384,0.174156767537316,0.157392846452275
XTE J1855-026,23,21.0,2.0,21.6,1.8,0.9722222222222222,22.0,2.0,13.4209601267453,2.09329112467804,2.04881108306465,B0Iaep,0.610043642124785,123868.543112800,29030.0581497969,30091.8813295830,5.092961029644154,0.105504898040372,0.101782048508525,29558.0,1446,4.470675044798936,0.02124601870329867,0.12503717498214692,0.165538046301863,0.162419144755410
