,vsini180,vsini185
T15000logg2.0,12.354392778407382,11.920189148370964
T15000logg2.2,25.406241859256586,24.751139754980898
T15000logg2.4,35.889194250486035,35.24982844197806
T15000logg2.6,39.19631114199807,38.64408447989425
T15000logg2.8,50.120673237347404,49.54940704765598
T15000logg3.0,57.14306074945588,56.64920970706049
T16000logg2.0,11.381723606513246,11.043188312234113
T16000logg2.2,15.189913363656542,14.700531462960882
T16000logg2.4,23.89859416624375,23.332510516011535
T16000logg2.6,34.10179367239772,33.50276164117466
T16000logg2.8,43.299589342810215,42.7296147021248
T16000logg3.0,50.858925984258036,50.32739854865108
T16000logg3.2,60.33165797190666,59.78374818784172
T17000logg2.2,13.625783064860258,13.177496864452133
T17000logg2.4,20.215819154567004,19.662097483934996
T17000logg2.6,29.633273851498018,29.036764408969205
T17000logg2.8,38.305572917890686,37.7071003505441
T17000logg3.0,46.84193709071176,46.25337677982204
T17000logg3.2,54.16661710369158,53.608584628939774
T18000logg2.2,12.068535962918807,11.67999521990872
T18000logg2.4,14.777141450126821,14.337631992320661
T18000logg2.6,28.64105332184694,28.012345727018175
T18000logg2.8,33.02942293920179,32.44561726144824
T18000logg3.0,41.39325624169274,40.820785855790405
T18000logg3.2,49.297843131719844,48.74610258065263
T18000logg3.4,54.1744238738819,53.64010538695223
T19000logg2.4,14.179947157149682,13.727972376278288
T19000logg2.6,19.724167331396075,19.21903768137803
T19000logg2.8,27.30887144037872,26.77643254455234
T19000logg3.0,35.772654407643955,35.22678772878414
T19000logg3.2,43.03841818250989,42.50317264533084
T19000logg3.4,48.159441224655524,47.65102245162225
T19000logg3.6,57.46167149175079,56.9006067187149
T20000logg2.4,11.358174358031954,11.019919851858157
T20000logg2.6,16.717859558351613,16.269063799818976
T20000logg2.8,22.326406086309778,21.834081084132468
T20000logg3.0,29.107244964847798,28.611414933076162
T20000logg3.2,35.77761449123414,35.28006703263694
T20000logg3.4,42.52307286106089,42.02923428222082
T20000logg3.6,46.44067845188272,45.98203725393686
T20000logg3.8,49.82187450404255,49.36039343355708
T21000logg2.4,7.441933336719974,7.17975441038399
T21000logg2.6,12.829474248329158,12.468508142283467
T21000logg2.8,18.52458742364984,18.10804333815837
T21000logg3.0,26.305336134091167,25.82983172146236
T21000logg3.2,31.196931350837122,30.730354362412246
T21000logg3.4,38.519717205225184,38.03495805219648
T21000logg3.6,44.57018474839632,44.090979208547715
T21000logg3.8,50.77490578931355,50.30915125638822
T21000logg4.0,57.67674940303291,57.19312474437578
T22000logg2.6,13.768406764349367,13.381662184887842
T22000logg2.8,17.79669349917454,17.387936935714695
T22000logg3.0,21.356402149478797,20.96017447424452
T22000logg3.2,26.509223586190473,26.09211161468623
T22000logg3.4,35.962820060439576,35.501433834311904
T22000logg3.6,36.65929977428946,36.23552513899826
T22000logg3.8,42.64915168986477,42.23365314927533
T22000logg4.0,47.132474505614645,46.7185960632489
T23000logg2.6,8.18128111617183,7.95068953433226
T23000logg2.8,13.275928751717766,12.93159283216997
T23000logg3.0,19.47979347640164,19.102256871608628
T23000logg3.2,23.933334038724894,23.554895752722334
T23000logg3.4,28.62021962677264,28.238281068713814
T23000logg3.6,34.09205144868923,33.675241866435655
T23000logg3.8,37.73961761254383,37.35044150727523
T23000logg4.0,40.987136004685944,40.61272048699883
T23000logg4.2,45.01092040192941,44.6392597878596
T24000logg2.8,11.700956952716346,11.326860207286712
T24000logg3.0,17.451509519697577,17.09602186087243
T24000logg3.2,20.707053362160302,20.378608946216143
T24000logg3.4,26.634417080620764,26.276864359895825
T24000logg3.6,29.89584398630716,29.54032841783959
T24000logg3.8,33.728580880082895,33.377379679058336
T24000logg4.0,37.32175400406346,36.967485397789865
T24000logg4.2,39.55658267174435,39.22509526884633
T24000logg4.4,40.2138513692252,39.90526307125114
T25000logg2.8,6.928154336075681,6.64272102336903
