,vsini180,vsini185
T16000logg2.8,"{'H$\\beta$: 4861.33': 130.8204055978493, 'He I: 4921.93': 37.8751757587079, 'He I: 5015.68': 15.982536044047587, 'He II: 5411.53': 65.14126771254169, 'He I: 5875.66': 5.7998339596501705, 'He II: 4199.83': 5.0224101985776155, 'H$\\gamma$: 4340.46': 21.73382098518678, 'H11: 3770.63': 67.91765854088632, 'H10: 3797.90': 72.29744660232984, 'He I: 3819.62': 9.461785948453286, 'H9: 3835.38': 52.49602390659214, 'H8: 3889.05': 35.04670685890003}","{'H$\\beta$: 4861.33': 129.4679513287969, 'He I: 4921.93': 36.432401609255564, 'He I: 5015.68': 15.331522792605137, 'He II: 5411.53': 65.14181918096163, 'He I: 5875.66': 4.785212305350349, 'He II: 4199.83': 5.0214089308723135, 'H$\\gamma$: 4340.46': 21.480974652204498, 'H11: 3770.63': 67.40562190150953, 'H10: 3797.90': 71.68192289261538, 'He I: 3819.62': 9.22502899849189, 'H9: 3835.38': 52.053386750924055, 'H8: 3889.05': 34.728125081910335}"
T16000logg3.0,"{'H$\\beta$: 4861.33': 163.78122346991572, 'He I: 4921.93': 34.725152529842006, 'He I: 5015.68': 13.43993181989782, 'He II: 5411.53': 65.10626001713061, 'He I: 5875.66': 5.113453834326716, 'He II: 4199.83': 5.056480821859601, 'H$\\gamma$: 4340.46': 28.28723516160943, 'H11: 3770.63': 84.10535786421849, 'H10: 3797.90': 88.28135015947764, 'He I: 3819.62': 11.084251516093827, 'H9: 3835.38': 64.97282525133541, 'H8: 3889.05': 46.35358936538908}","{'H$\\beta$: 4861.33': 162.54446749290318, 'He I: 4921.93': 33.43169390440317, 'He I: 5015.68': 12.86816737590964, 'He II: 5411.53': 65.1052374147018, 'He I: 5875.66': 4.199651872033361, 'He II: 4199.83': 5.055603961134041, 'H$\\gamma$: 4340.46': 28.03979038999766, 'H11: 3770.63': 83.59970552054156, 'H10: 3797.90': 87.66499552402786, 'He I: 3819.62': 10.844638789357868, 'H9: 3835.38': 64.52781221729411, 'H8: 3889.05': 46.0470181215087}"
T16000logg3.2,"{'H$\\beta$: 4861.33': 204.07320639765393, 'He I: 4921.93': 38.22530232964941, 'He I: 5015.68': 14.017924877971279, 'He II: 5411.53': 65.1516066596093, 'He I: 5875.66': 5.910556916164274, 'He II: 4199.83': 5.106499745850067, 'H$\\gamma$: 4340.46': 36.47681241014931, 'H11: 3770.63': 99.93366374218157, 'H10: 3797.90': 104.36266411405248, 'He I: 3819.62': 13.828474121225765, 'H9: 3835.38': 78.45402637158907, 'H8: 3889.05': 58.43915797678347}","{'H$\\beta$: 4861.33': 202.8550427255608, 'He I: 4921.93': 36.860860899645644, 'He I: 5015.68': 13.418360228932361, 'He II: 5411.53': 65.15102350224541, 'He I: 5875.66': 4.9226239426157985, 'He II: 4199.83': 5.106030858080233, 'H$\\gamma$: 4340.46': 36.216504207129304, 'H11: 3770.63': 99.43157465107771, 'H10: 3797.90': 103.74043735278639, 'He I: 3819.62': 13.572285776512683, 'H9: 3835.38': 78.00135881677505, 'H8: 3889.05': 58.12887529273921}"
T17000logg2.2,"{'H$\\beta$: 4861.33': 7.773374962721263, 'He I: 4921.93': 43.03235917327349, 'He I: 5015.68': 11.438360442313078, 'He II: 5411.53': 65.34457648939187, 'He I: 5875.66': 6.9301682368980115, 'He II: 4199.83': 4.741698548720805, 'H$\\gamma$: 4340.46': 1.2560342615655407, 'H11: 3770.63': 6.277530879923079, 'H10: 3797.90': 6.774841313313391, 'He I: 3819.62': 2.546820303071188, 'H9: 3835.38': 4.99962082130643, 'H8: 3889.05': 2.3940113458249366}","{'H$\\beta$: 4861.33': 6.709780505262889, 'He I: 4921.93': 41.43510548042325, 'He I: 5015.68': 10.90318195476748, 'He II: 5411.53': 65.33952518182666, 'He I: 5875.66': 5.928895787443434, 'He II: 4199.83': 4.74001242995609, 'H$\\gamma$: 4340.46': 1.117401372924131, 'H11: 3770.63': 6.022912177126328, 'H10: 3797.90': 6.4702620693827075, 'He I: 3819.62': 2.413771316150575, 'H9: 3835.38': 4.864389268948497, 'H8: 3889.05': 2.1847248292135766}"
T17000logg2.4,"{'H$\\beta$: 4861.33': 32.514723276358644, 'He I: 4921.93': 41.52442487452717, 'He I: 5015.68': 17.063625331993855, 'He II: 5411.53': 64.70284748717746, 'He I: 5875.66': 6.638755651804311, 'He II: 4199.83': 4.874526499861978, 'H$\\gamma$: 4340.46': 4.4889875484085335, 'H11: 3770.63': 19.654018950838857, 'H10: 3797.90': 22.43940971438665, 'He I: 3819.62': 4.898196931974233, 'H9: 3835.38': 16.867268152907606, 'H8: 3889.05': 6.923045434564755}","{'H$\\beta$: 4861.33': 31.09784658491991, 'He I: 4921.93': 39.85036457152932, 'He I: 5015.68': 16.4077708278548, 'He II: 5411.53': 64.69852619231985, 'He I: 5875.66': 5.496697823912353, 'He II: 4199.83': 4.872736148287995, 'H$\\gamma$: 4340.46': 4.29102414102588, 'H11: 3770.63': 19.274621550893883, 'H10: 3797.90': 21.998277930318498, 'He I: 3819.62': 4.710747273631175, 'H9: 3835.38': 16.59984473917965, 'H8: 3889.05': 6.646712023346663}"
T17000logg2.6,"{'H$\\beta$: 4861.33': 69.87652875702575, 'He I: 4921.93': 46.42881678791201, 'He I: 5015.68': 19.798194301466523, 'He II: 5411.53': 64.77454791326743, 'He I: 5875.66': 6.949626033769566, 'He II: 4199.83': 4.885236185011362, 'H$\\gamma$: 4340.46': 10.551074259013383, 'H11: 3770.63': 37.38473087396789, 'H10: 3797.90': 41.09363712132721, 'He I: 3819.62': 7.2697216754895235, 'H9: 3835.38': 30.48718136143389, 'H8: 3889.05': 16.099990948291715}","{'H$\\beta$: 4861.33': 68.45423107668647, 'He I: 4921.93': 44.66870177809283, 'He I: 5015.68': 19.06040746441261, 'He II: 5411.53': 64.77105921066004, 'He I: 5875.66': 5.773586145698722, 'He II: 4199.83': 4.8834453429751425, 'H$\\gamma$: 4340.46': 10.332705971615015, 'H11: 3770.63': 36.94399421550438, 'H10: 3797.90': 40.57575128615865, 'He I: 3819.62': 7.038885304976487, 'H9: 3835.38': 30.13247337151878, 'H8: 3889.05': 15.805931739331418}"
T17000logg2.8,"{'H$\\beta$: 4861.33': 105.04284408594354, 'He I: 4921.93': 48.38631994907951, 'He I: 5015.68': 19.898163440605078, 'He II: 5411.53': 64.9211396673311, 'He I: 5875.66': 6.989074652565734, 'He II: 4199.83': 4.940081659671041, 'H$\\gamma$: 4340.46': 16.924077487279305, 'H11: 3770.63': 54.318484231912436, 'H10: 3797.90': 58.74302201267642, 'He I: 3819.62': 9.624534093874866, 'H9: 3835.38': 43.33535779744424, 'H8: 3889.05': 26.54377593630486}","{'H$\\beta$: 4861.33': 103.71638546231083, 'He I: 4921.93': 46.63575099578503, 'He I: 5015.68': 19.144409033363967, 'He II: 5411.53': 64.91855503241803, 'He I: 5875.66': 5.829870721941812, 'He II: 4199.83': 4.938663920837319, 'H$\\gamma$: 4340.46': 16.69987555774501, 'H11: 3770.63': 53.85564934507753, 'H10: 3797.90': 58.187931271299725, 'He I: 3819.62': 9.36560946119472, 'H9: 3835.38': 42.93962122816429, 'H8: 3889.05': 26.252882176391026}"
T17000logg3.0,"{'H$\\beta$: 4861.33': 142.53696290281468, 'He I: 4921.93': 48.258038967788174, 'He I: 5015.68': 18.63006570604676, 'He II: 5411.53': 65.01036290068753, 'He I: 5875.66': 6.764486655202736, 'He II: 4199.83': 4.977927718137858, 'H$\\gamma$: 4340.46': 23.66621949429868, 'H11: 3770.63': 71.18578386069521, 'H10: 3797.90': 75.42642000556714, 'He I: 3819.62': 11.86666914466782, 'H9: 3835.38': 55.91980006016158, 'H8: 3889.05': 37.860507672472956}","{'H$\\beta$: 4861.33': 141.28194295883742, 'He I: 4921.93': 46.56286250674405, 'He I: 5015.68': 17.8901255561595, 'He II: 5411.53': 65.00839265030378, 'He I: 5875.66': 5.647053196744374, 'He II: 4199.83': 4.976484255104418, 'H$\\gamma$: 4340.46': 23.438147394071628, 'H11: 3770.63': 70.71515802140819, 'H10: 3797.90': 74.85401505864846, 'He I: 3819.62': 11.588313240535678, 'H9: 3835.38': 55.50515697045351, 'H8: 3889.05': 37.57286954885358}"
T17000logg3.2,"{'H$\\beta$: 4861.33': 170.16672189512013, 'He I: 4921.93': 47.86730335731962, 'He I: 5015.68': 17.274078607474262, 'He II: 5411.53': 65.07538625129386, 'He I: 5875.66': 6.287165614701705, 'He II: 4199.83': 5.042689533123561, 'H$\\gamma$: 4340.46': 29.829552784081187, 'H11: 3770.63': 86.18968097414043, 'H10: 3797.90': 90.59035689071023, 'He I: 3819.62': 14.435175923001749, 'H9: 3835.38': 67.97544888178096, 'H8: 3889.05': 49.26584453155124}","{'H$\\beta$: 4861.33': 169.07791352459245, 'He I: 4921.93': 46.250999511935966, 'He I: 5015.68': 16.572824159441993, 'He II: 5411.53': 65.07397186174792, 'He I: 5875.66': 5.247634807158575, 'He II: 4199.83': 5.041611630927201, 'H$\\gamma$: 4340.46': 29.60611858099807, 'H11: 3770.63': 85.7262427994591, 'H10: 3797.90': 90.01689737446549, 'He I: 3819.62': 14.145059504277397, 'H9: 3835.38': 67.55899100906991, 'H8: 3889.05': 48.98475078320329}"
T18000logg2.2,"{'H$\\beta$: 4861.33': 6.257611879661004, 'He I: 4921.93': 39.83712676691114, 'He I: 5015.68': 6.177043368171253, 'He II: 5411.53': 64.33261886771822, 'He I: 5875.66': 8.248805380444201, 'He II: 4199.83': 4.9693147310961745, 'H$\\gamma$: 4340.46': 1.3340945439620304, 'H11: 3770.63': 3.5455699405158274, 'H10: 3797.90': 3.554003635263325, 'He I: 3819.62': 1.7122987015173978, 'H9: 3835.38': 1.9860382085193686, 'H8: 3889.05': 2.867905531245738}","{'H$\\beta$: 4861.33': 5.417194406093886, 'He I: 4921.93': 38.23835544447857, 'He I: 5015.68': 5.791716085844367, 'He II: 5411.53': 64.33960066198244, 'He I: 5875.66': 7.372763572236107, 'He II: 4199.83': 4.9683096555507555, 'H$\\gamma$: 4340.46': 1.2181729424595926, 'H11: 3770.63': 3.3532016620118275, 'H10: 3797.90': 3.3088315353204565, 'He I: 3819.62': 1.606641163191356, 'H9: 3835.38': 1.834505002049349, 'H8: 3889.05': 2.710650507685923}"
