,vsini180,vsini185
T22000logg2.8,"{'H$\\beta$: 4861.33': 36.441942121565326, 'He I: 4921.93': 42.431646306108995, 'He I: 5015.68': 9.070107070060153, 'He II: 5411.53': 58.532453601828344, 'He I: 5875.66': 5.55596733193816, 'He II: 4199.83': 4.160981873042259, 'H$\\gamma$: 4340.46': 4.622006619512708, 'H11: 3770.63': 15.40309834006657, 'H10: 3797.90': 18.005597869844653, 'He I: 3819.62': 3.483858077618105, 'H9: 3835.38': 10.977336770582507, 'H8: 3889.05': 4.875326007926755}","{'H$\\beta$: 4861.33': 35.375474044169835, 'He I: 4921.93': 41.11349244147053, 'He I: 5015.68': 8.6316088516187, 'He II: 5411.53': 58.575969035523855, 'He I: 5875.66': 4.5819894353465305, 'He II: 4199.83': 4.16143269885091, 'H$\\gamma$: 4340.46': 4.524390359622936, 'H11: 3770.63': 15.146913575895857, 'H10: 3797.90': 17.69072713757191, 'He I: 3819.62': 3.3503339434860058, 'H9: 3835.38': 10.780877065801086, 'H8: 3889.05': 4.722034639218184}"
T22000logg3.0,"{'H$\\beta$: 4861.33': 49.6647032901836, 'He I: 4921.93': 43.759237660316714, 'He I: 5015.68': 9.412219160215148, 'He II: 5411.53': 61.19662810090501, 'He I: 5875.66': 5.601738672066198, 'He II: 4199.83': 4.353052771107055, 'H$\\gamma$: 4340.46': 6.767213646770893, 'H11: 3770.63': 21.06134209587127, 'H10: 3797.90': 25.19690928545, 'He I: 3819.62': 4.644338085965427, 'H9: 3835.38': 16.455771207692305, 'H8: 3889.05': 8.163671817201925}","{'H$\\beta$: 4861.33': 48.70154423475735, 'He I: 4921.93': 42.47291071552091, 'He I: 5015.68': 8.994789396098364, 'He II: 5411.53': 61.21135415015456, 'He I: 5875.66': 4.61065122738546, 'He II: 4199.83': 4.351590545947035, 'H$\\gamma$: 4340.46': 6.681264821784522, 'H11: 3770.63': 20.826809359781922, 'H10: 3797.90': 24.88959799912426, 'He I: 3819.62': 4.493035774723271, 'H9: 3835.38': 16.262322057993796, 'H8: 3889.05': 8.026223407662807}"
T22000logg3.2,"{'H$\\beta$: 4861.33': 72.3409227518046, 'He I: 4921.93': 47.60149294950301, 'He I: 5015.68': 10.718885372520317, 'He II: 5411.53': 62.59206146994598, 'He I: 5875.66': 5.720081758164185, 'He II: 4199.83': 4.512020419417696, 'H$\\gamma$: 4340.46': 9.948611683880722, 'H11: 3770.63': 28.012983373182497, 'H10: 3797.90': 33.78385949177241, 'He I: 3819.62': 6.260860682076813, 'H9: 3835.38': 23.51326445942688, 'H8: 3889.05': 13.105638622590567}","{'H$\\beta$: 4861.33': 71.31108892000016, 'He I: 4921.93': 46.25105594735671, 'He I: 5015.68': 10.286912274660857, 'He II: 5411.53': 62.59034373180096, 'He I: 5875.66': 4.716374840729965, 'He II: 4199.83': 4.509003404032453, 'H$\\gamma$: 4340.46': 9.848065152370548, 'H11: 3770.63': 27.776704773471486, 'H10: 3797.90': 33.46116776740677, 'He I: 3819.62': 6.085561161774868, 'H9: 3835.38': 23.301120980615423, 'H8: 3889.05': 12.967940422014578}"
T22000logg3.4,"{'H$\\beta$: 4861.33': 114.47980243041029, 'He I: 4921.93': 57.88733467846382, 'He I: 5015.68': 13.286960218633073, 'He II: 5411.53': 63.44984451330556, 'He I: 5875.66': 6.134765011295804, 'He II: 4199.83': 4.639542809776099, 'H$\\gamma$: 4340.46': 16.670254813792447, 'H11: 3770.63': 40.54945970887465, 'H10: 3797.90': 47.658765167343056, 'He I: 3819.62': 8.893673633349088, 'H9: 3835.38': 35.59190441478953, 'H8: 3889.05': 22.311533325241452}","{'H$\\beta$: 4861.33': 113.38574755259391, 'He I: 4921.93': 56.32971665068309, 'He I: 5015.68': 12.785925712726014, 'He II: 5411.53': 63.44472405609566, 'He I: 5875.66': 5.098040839004787, 'He II: 4199.83': 4.635955488315493, 'H$\\gamma$: 4340.46': 16.54941655651249, 'H11: 3770.63': 40.29132717360622, 'H10: 3797.90': 47.304141789849965, 'He I: 3819.62': 8.686527059466863, 'H9: 3835.38': 35.34036991228272, 'H8: 3889.05': 22.16531322060572}"
T22000logg3.6,"{'H$\\beta$: 4861.33': 114.33417225510492, 'He I: 4921.93': 53.30240584096008, 'He I: 5015.68': 12.938137025450477, 'He II: 5411.53': 63.79614746827797, 'He I: 5875.66': 5.717198633294746, 'He II: 4199.83': 4.697648364924645, 'H$\\gamma$: 4340.46': 16.749680591749254, 'H11: 3770.63': 43.22191372936411, 'H10: 3797.90': 50.8187789047199, 'He I: 3819.62': 10.71164073611995, 'H9: 3835.38': 38.0917650335805, 'H8: 3889.05': 25.53210870792695}","{'H$\\beta$: 4861.33': 113.4493163354445, 'He I: 4921.93': 51.85217219042575, 'He I: 5015.68': 12.45246506363462, 'He II: 5411.53': 63.7890530049607, 'He I: 5875.66': 4.7473045742958915, 'He II: 4199.83': 4.694479670185137, 'H$\\gamma$: 4340.46': 16.638285732103817, 'H11: 3770.63': 42.98333899781999, 'H10: 3797.90': 50.479853284382465, 'He I: 3819.62': 10.492453792287549, 'H9: 3835.38': 37.85493012919082, 'H8: 3889.05': 25.39264889324784}"
T22000logg3.8,"{'H$\\beta$: 4861.33': 142.2032945295461, 'He I: 4921.93': 53.72905700677178, 'He I: 5015.68': 12.78522593056622, 'He II: 5411.53': 64.2676548114997, 'He I: 5875.66': 5.513780460523039, 'He II: 4199.83': 4.798354402321079, 'H$\\gamma$: 4340.46': 21.504134084678842, 'H11: 3770.63': 51.78486323758384, 'H10: 3797.90': 60.49769795559151, 'He I: 3819.62': 14.024927399981571, 'H9: 3835.38': 46.673832940584106, 'H8: 3889.05': 34.0069975187295}","{'H$\\beta$: 4861.33': 141.3851348851195, 'He I: 4921.93': 52.298935347499125, 'He I: 5015.68': 12.296954470596736, 'He II: 5411.53': 64.26222428547818, 'He I: 5875.66': 4.588723235360563, 'He II: 4199.83': 4.795364120127285, 'H$\\gamma$: 4340.46': 21.385460282255664, 'H11: 3770.63': 51.551954922164335, 'H10: 3797.90': 60.16037080982799, 'He I: 3819.62': 13.782367501505872, 'H9: 3835.38': 46.43174042013981, 'H8: 3889.05': 33.864607511228826}"
T22000logg4.0,"{'H$\\beta$: 4861.33': 157.28094674805538, 'He I: 4921.93': 60.35479360841651, 'He I: 5015.68': 13.583807257662258, 'He II: 5411.53': 64.53424360060505, 'He I: 5875.66': 6.125183665677144, 'He II: 4199.83': 4.865886134401174, 'H$\\gamma$: 4340.46': 25.56531146886066, 'H11: 3770.63': 57.02243480044427, 'H10: 3797.90': 66.01223689302775, 'He I: 3819.62': 17.305087742108846, 'H9: 3835.38': 52.4590282623153, 'H8: 3889.05': 40.48073388580134}","{'H$\\beta$: 4861.33': 156.5695879955273, 'He I: 4921.93': 58.8422457913368, 'He I: 5015.68': 13.07107272181025, 'He II: 5411.53': 64.5287656572075, 'He I: 5875.66': 5.180243653712151, 'He II: 4199.83': 4.863382390117744, 'H$\\gamma$: 4340.46': 25.446890911741175, 'H11: 3770.63': 56.80743835438114, 'H10: 3797.90': 65.69652086137559, 'He I: 3819.62': 17.048939124976897, 'H9: 3835.38': 52.22599220804332, 'H8: 3889.05': 40.34207308875699}"
T23000logg2.6,"{'H$\\beta$: 4861.33': 5.063971134812993, 'He I: 4921.93': 10.564920764252008, 'He I: 5015.68': 3.32578206466732, 'He II: 5411.53': 55.33775090107804, 'He I: 5875.66': 6.288757852896436, 'He II: 4199.83': 4.9934049005831245, 'H$\\gamma$: 4340.46': 2.3467376739071, 'H11: 3770.63': 2.4466202303143385, 'H10: 3797.90': 2.4385549163921256, 'He I: 3819.62': 1.3078674534679169, 'H9: 3835.38': 1.381593403238092, 'H8: 3889.05': 2.679412098452463}","{'H$\\beta$: 4861.33': 4.321736588668061, 'He I: 4921.93': 10.000615276136907, 'He I: 5015.68': 3.093511848330984, 'He II: 5411.53': 55.43105986538866, 'He I: 5875.66': 5.602824434634283, 'He II: 4199.83': 4.998156781370838, 'H$\\gamma$: 4340.46': 2.2290238576068004, 'H11: 3770.63': 2.3261557940785016, 'H10: 3797.90': 2.2601437051130837, 'He I: 3819.62': 1.2473071646485834, 'H9: 3835.38': 1.3171040277558448, 'H8: 3889.05': 2.5806350682545673}"
T23000logg2.8,"{'H$\\beta$: 4861.33': 25.77787462239438, 'He I: 4921.93': 29.069028892935115, 'He I: 5015.68': 6.47588851446038, 'He II: 5411.53': 49.77897489377708, 'He I: 5875.66': 5.123496108651501, 'He II: 4199.83': 3.5733321334405272, 'H$\\gamma$: 4340.46': 3.0141864222420285, 'H11: 3770.63': 10.957940207076652, 'H10: 3797.90': 12.759908348625537, 'He I: 3819.62': 2.650253416918533, 'H9: 3835.38': 6.946648755782618, 'H8: 3889.05': 3.183612704308818}","{'H$\\beta$: 4861.33': 24.774121209067086, 'He I: 4921.93': 28.069765310513393, 'He I: 5015.68': 6.121951621764489, 'He II: 5411.53': 49.899715502673914, 'He I: 5875.66': 4.246680265020117, 'He II: 4199.83': 3.5791719646804676, 'H$\\gamma$: 4340.46': 2.9190140062526257, 'H11: 3770.63': 10.730535427845615, 'H10: 3797.90': 12.479596103443102, 'He I: 3819.62': 2.539738244729, 'H9: 3835.38': 6.773530281103815, 'H8: 3889.05': 3.0452940489460283}"
T23000logg3.0,"{'H$\\beta$: 4861.33': 48.43769653396092, 'He I: 4921.93': 38.95448801317585, 'He I: 5015.68': 8.272430918579628, 'He II: 5411.53': 56.34321182350194, 'He I: 5875.66': 5.281588576525206, 'He II: 4199.83': 3.9742735002248257, 'H$\\gamma$: 4340.46': 5.9738476617093585, 'H11: 3770.63': 19.0626125193258, 'H10: 3797.90': 22.355424010685475, 'He I: 3819.62': 4.0607224481171045, 'H9: 3835.38': 13.963650794876832, 'H8: 3889.05': 7.077574916136729}","{'H$\\beta$: 4861.33': 47.43782335898329, 'He I: 4921.93': 37.76895904613391, 'He I: 5015.68': 7.874243820322811, 'He II: 5411.53': 56.403750356132164, 'He I: 5875.66': 4.341647788285385, 'He II: 4199.83': 3.976052464854867, 'H$\\gamma$: 4340.46': 5.885221882159298, 'H11: 3770.63': 18.834042082626304, 'H10: 3797.90': 22.062140350885333, 'He I: 3819.62': 3.9218889907556784, 'H9: 3835.38': 13.776328466752862, 'H8: 3889.05': 6.944983851411662}"
T23000logg3.2,"{'H$\\beta$: 4861.33': 65.85560645934311, 'He I: 4921.93': 42.072860883433364, 'He I: 5015.68': 8.611379142889591, 'He II: 5411.53': 59.64239202896105, 'He I: 5875.66': 5.3631978401488976, 'He II: 4199.83': 4.265469973820992, 'H$\\gamma$: 4340.46': 8.829283171861686, 'H11: 3770.63': 25.190426898736366, 'H10: 3797.90': 30.135268302460485, 'He I: 3819.62': 5.482755916156198, 'H9: 3835.38': 20.321164666927988, 'H8: 3889.05': 11.430203179959015}","{'H$\\beta$: 4861.33': 64.90573150690909, 'He I: 4921.93': 40.866698914977206, 'He I: 5015.68': 8.22804511559393, 'He II: 5411.53': 59.66782508843964, 'He I: 5875.66': 4.409063943475754, 'He II: 4199.83': 4.26442601212522, 'H$\\gamma$: 4340.46': 8.74142005966109, 'H11: 3770.63': 24.973523833950043, 'H10: 3797.90': 29.841495192946383, 'He I: 3819.62': 5.324312552650589, 'H9: 3835.38': 20.128192457102347, 'H8: 3889.05': 11.308014354836722}"
T23000logg3.4,"{'H$\\beta$: 4861.33': 83.02871194606043, 'He I: 4921.93': 47.978986272461185, 'He I: 5015.68': 9.734705034718976, 'He II: 5411.53': 61.82695928197068, 'He I: 5875.66': 5.3166765727053855, 'He II: 4199.83': 4.486196509629679, 'H$\\gamma$: 4340.46': 11.678958611583392, 'H11: 3770.63': 31.386946616665668, 'H10: 3797.90': 37.44497067465513, 'He I: 3819.62': 7.289467529709076, 'H9: 3835.38': 26.861059123900475, 'H8: 3889.05': 16.40899734721161}","{'H$\\beta$: 4861.33': 82.17030338133546, 'He I: 4921.93': 46.66200540183526, 'He I: 5015.68': 9.329243236676326, 'He II: 5411.53': 61.83390228117562, 'He I: 5875.66': 4.375059940655253, 'He II: 4199.83': 4.483587977396897, 'H$\\gamma$: 4340.46': 11.596616461897463, 'H11: 3770.63': 31.180210633981098, 'H10: 3797.90': 37.15536334483368, 'He I: 3819.62': 7.1128624444380035, 'H9: 3835.38': 26.662630826581434, 'H8: 3889.05': 16.29758689375919}"
T23000logg3.6,"{'H$\\beta$: 4861.33': 111.6903624616443, 'He I: 4921.93': 51.10079573745349, 'He I: 5015.68': 10.749685714357819, 'He II: 5411.53': 62.799901137113274, 'He I: 5875.66': 5.825772490480518, 'He II: 4199.83': 4.57522691235816, 'H$\\gamma$: 4340.46': 15.823036773721839, 'H11: 3770.63': 36.95268201373213, 'H10: 3797.90': 44.851344219923895, 'He I: 3819.62': 9.349081713593938, 'H9: 3835.38': 33.41561030707831, 'H8: 3889.05': 21.97111790281316}","{'H$\\beta$: 4861.33': 110.64549563001395, 'He I: 4921.93': 49.74567894257897, 'He I: 5015.68': 10.321373286885137, 'He II: 5411.53': 62.79681840027294, 'He I: 5875.66': 4.836951031556017, 'He II: 4199.83': 4.572103009535896, 'H$\\gamma$: 4340.46': 15.710579534864474, 'H11: 3770.63': 36.74160919462294, 'H10: 3797.90': 44.53913134795128, 'He I: 3819.62': 9.151296378134777, 'H9: 3835.38': 33.19741355083031, 'H8: 3889.05': 21.84445208998112}"
T23000logg3.8,"{'H$\\beta$: 4861.33': 123.2059551128678, 'He I: 4921.93': 54.551770014676556, 'He I: 5015.68': 11.418235568855366, 'He II: 5411.53': 63.57022553738003, 'He I: 5875.66': 5.307490316480722, 'He II: 4199.83': 4.6866756223442865, 'H$\\gamma$: 4340.46': 18.27778385504509, 'H11: 3770.63': 42.59481945956893, 'H10: 3797.90': 50.96179491221918, 'He I: 3819.62': 11.592373984744711, 'H9: 3835.38': 39.106932687232295, 'H8: 3889.05': 27.60135427911096}","{'H$\\beta$: 4861.33': 122.41376148818352, 'He I: 4921.93': 53.15299110111642, 'He I: 5015.68': 10.978278045726821, 'He II: 5411.53': 63.56442534480404, 'He I: 5875.66': 4.39894618348893, 'He II: 4199.83': 4.683347164092207, 'H$\\gamma$: 4340.46': 18.18215776607192, 'H11: 3770.63': 42.397725558700095, 'H10: 3797.90': 50.667660738670044, 'He I: 3819.62': 11.383496004255528, 'H9: 3835.38': 38.89550972429367, 'H8: 3889.05': 27.486998967899602}"
T23000logg4.0,"{'H$\\beta$: 4861.33': 131.54518890602372, 'He I: 4921.93': 56.35495432059162, 'He I: 5015.68': 11.79400893213027, 'He II: 5411.53': 63.97269285689386, 'He I: 5875.66': 5.233426186560671, 'He II: 4199.83': 4.750497291600871, 'H$\\gamma$: 4340.46': 21.170269620188485, 'H11: 3770.63': 47.28830012130515, 'H10: 3797.90': 56.65043611117021, 'He I: 3819.62': 14.565632681754565, 'H9: 3835.38': 44.757846758339305, 'H8: 3889.05': 33.762378269672546}","{'H$\\beta$: 4861.33': 130.8996862253906, 'He I: 4921.93': 54.95684108003408, 'He I: 5015.68': 11.34183400326575, 'He II: 5411.53': 63.96660955811018, 'He I: 5875.66': 4.365358408079174, 'He II: 4199.83': 4.747319390728469, 'H$\\gamma$: 4340.46': 21.074668156513667, 'H11: 3770.63': 47.10259757198376, 'H10: 3797.90': 56.363756468872104, 'He I: 3819.62': 14.339153801294822, 'H9: 3835.38': 44.54861428566801, 'H8: 3889.05': 33.64620689404543}"
T23000logg4.2,"{'H$\\beta$: 4861.33': 139.11227146973104, 'He I: 4921.93': 66.91869295955175, 'He I: 5015.68': 12.715839610652882, 'He II: 5411.53': 64.44945864838068, 'He I: 5875.66': 5.811024468352649, 'He II: 4199.83': 4.861524833462969, 'H$\\gamma$: 4340.46': 25.399147175281257, 'H11: 3770.63': 50.953742566946225, 'H10: 3797.90': 61.30500784297813, 'He I: 3819.62': 18.0802061579227, 'H9: 3835.38': 50.2698025486168, 'H8: 3889.05': 40.25432654127582}","{'H$\\beta$: 4861.33': 138.60869840144716, 'He I: 4921.93': 65.38128286986274, 'He I: 5015.68': 12.236356905032832, 'He II: 5411.53': 64.44329164189855, 'He I: 5875.66': 4.9520059379506405, 'He II: 4199.83': 4.858535201895471, 'H$\\gamma$: 4340.46': 25.305147534502026, 'H11: 3770.63': 50.78798334544479, 'H10: 3797.90': 61.04122386782391, 'He I: 3819.62': 17.843457264205718, 'H9: 3835.38': 50.07046622278728, 'H8: 3889.05': 40.142668261464166}"
T24000logg2.8,"{'H$\\beta$: 4861.33': 32.48900161138286, 'He I: 4921.93': 24.116507146995758, 'He I: 5015.68': 6.0932906573359364, 'He II: 5411.53': 38.009819963306136, 'He I: 5875.66': 5.35045506220769, 'He II: 4199.83': 3.0600559149843285, 'H$\\gamma$: 4340.46': 2.9883888600158235, 'H11: 3770.63': 8.383281890705662, 'H10: 3797.90': 10.038149860640196, 'He I: 3819.62': 2.196704130517728, 'H9: 3835.38': 4.95600535548887, 'H8: 3889.05': 2.7298229790151587}","{'H$\\beta$: 4861.33': 31.134357584295095, 'He I: 4921.93': 23.21014351085001, 'He I: 5015.68': 5.7422824583201395, 'He II: 5411.53': 38.21466442918032, 'He I: 5875.66': 4.409080883051036, 'He II: 4199.83': 3.0707536509645657, 'H$\\gamma$: 4340.46': 2.849070255214072, 'H11: 3770.63': 8.132426022742449, 'H10: 3797.90': 9.739243120803994, 'He I: 3819.62': 2.0984332867335884, 'H9: 3835.38': 4.750074749399486, 'H8: 3889.05': 2.571792535885817}"
T24000logg3.0,"{'H$\\beta$: 4861.33': 45.722608177188576, 'He I: 4921.93': 34.55160900235187, 'He I: 5015.68': 8.087699103939553, 'He II: 5411.53': 45.209728060834095, 'He I: 5875.66': 4.940333119062142, 'He II: 4199.83': 3.2152833689243066, 'H$\\gamma$: 4340.46': 5.6281918611014685, 'H11: 3770.63': 18.335996375213995, 'H10: 3797.90': 21.057712228401318, 'He I: 3819.62': 3.503700441716645, 'H9: 3835.38': 12.63782286233512, 'H8: 3889.05': 6.527429635301851}","{'H$\\beta$: 4861.33': 44.79307781100964, 'He I: 4921.93': 33.43520980993251, 'He I: 5015.68': 7.680445150696337, 'He II: 5411.53': 45.3610248712907, 'He I: 5875.66': 4.062973815956173, 'He II: 4199.83': 3.2230791959012612, 'H$\\gamma$: 4340.46': 5.541168156803492, 'H11: 3770.63': 18.09428966102486, 'H10: 3797.90': 20.75418478727196, 'He I: 3819.62': 3.37846353277558, 'H9: 3835.38': 12.437458786292485, 'H8: 3889.05': 6.390886751514172}"
T24000logg3.2,"{'H$\\beta$: 4861.33': 52.50036415140336, 'He I: 4921.93': 38.09874636475457, 'He I: 5015.68': 7.531278717240165, 'He II: 5411.53': 55.03522330488962, 'He I: 5875.66': 4.573175016971573, 'He II: 4199.83': 3.8363267611691763, 'H$\\gamma$: 4340.46': 6.946776908079815, 'H11: 3770.63': 22.306697768545625, 'H10: 3797.90': 26.599914658054995, 'He I: 3819.62': 4.56578840861597, 'H9: 3835.38': 17.067861052867848, 'H8: 3889.05': 9.42248723333095}","{'H$\\beta$: 4861.33': 51.76254883422429, 'He I: 4921.93': 36.974406174467774, 'He I: 5015.68': 7.1683438714605865, 'He II: 5411.53': 55.101254073633, 'He I: 5875.66': 3.7514998149101566, 'He II: 4199.83': 3.8381993594068056, 'H$\\gamma$: 4340.46': 6.883494871923226, 'H11: 3770.63': 22.10333681403591, 'H10: 3797.90': 26.325249075460388, 'He I: 3819.62': 4.427035669134441, 'H9: 3835.38': 16.892289012911643, 'H8: 3889.05': 9.315649783025426}"
T24000logg3.4,"{'H$\\beta$: 4861.33': 74.76055363256519, 'He I: 4921.93': 46.87105369204601, 'He I: 5015.68': 8.775950917576, 'He II: 5411.53': 56.92104936717343, 'He I: 5875.66': 4.646192338417848, 'He II: 4199.83': 4.028396298743806, 'H$\\gamma$: 4340.46': 10.623350022154654, 'H11: 3770.63': 29.715325463859177, 'H10: 3797.90': 36.057010818534, 'He I: 3819.62': 6.405135266542345, 'H9: 3835.38': 25.7244131739187, 'H8: 3889.05': 15.084573975917953}","{'H$\\beta$: 4861.33': 73.9880544893679, 'He I: 4921.93': 45.59348058855015, 'He I: 5015.68': 8.389855736544083, 'He II: 5411.53': 56.96551438458365, 'He I: 5875.66': 3.800151092320598, 'He II: 4199.83': 4.028156084524506, 'H$\\gamma$: 4340.46': 10.553040481197206, 'H11: 3770.63': 29.50705581509198, 'H10: 3797.90': 35.759699378114476, 'He I: 3819.62': 6.2407661965836105, 'H9: 3835.38': 25.52252235659575, 'H8: 3889.05': 14.974075715276086}"
T24000logg3.6,"{'H$\\beta$: 4861.33': 89.41084239658167, 'He I: 4921.93': 48.59471657397857, 'He I: 5015.68': 9.013873818438002, 'He II: 5411.53': 62.05510035967005, 'He I: 5875.66': 4.67567459369847, 'He II: 4199.83': 4.412415945576957, 'H$\\gamma$: 4340.46': 12.671527798813413, 'H11: 3770.63': 32.428047726058566, 'H10: 3797.90': 39.58146843513268, 'He I: 3819.62': 8.06833084740657, 'H9: 3835.38': 29.255378881312538, 'H8: 3889.05': 18.582750459018495}","{'H$\\beta$: 4861.33': 88.66564068927588, 'He I: 4921.93': 47.3108869301024, 'He I: 5015.68': 8.629413962683774, 'He II: 5411.53': 62.056536546211134, 'He I: 5875.66': 3.829055985459066, 'He II: 4199.83': 4.409609263552804, 'H$\\gamma$: 4340.46': 12.599637475556973, 'H11: 3770.63': 32.24190593454222, 'H10: 3797.90': 39.305342660962744, 'He I: 3819.62': 7.892039473580827, 'H9: 3835.38': 29.0612598128587, 'H8: 3889.05': 18.48261227928864}"
T24000logg3.8,"{'H$\\beta$: 4861.33': 106.54314892201603, 'He I: 4921.93': 51.35715202514327, 'He I: 5015.68': 9.404866360275884, 'He II: 5411.53': 62.668579763459526, 'He I: 5875.66': 4.736857348672842, 'He II: 4199.83': 4.567108080674052, 'H$\\gamma$: 4340.46': 15.646619807087912, 'H11: 3770.63': 36.52717764964816, 'H10: 3797.90': 44.839007648106865, 'He I: 3819.62': 10.093565403334884, 'H9: 3835.38': 34.60076609482607, 'H8: 3889.05': 23.758121457749144}","{'H$\\beta$: 4861.33': 105.8561618652763, 'He I: 4921.93': 50.0578142744951, 'He I: 5015.68': 9.016613565912026, 'He II: 5411.53': 62.666770045186496, 'He I: 5875.66': 3.893508883539645, 'He II: 4199.83': 4.563837364984065, 'H$\\gamma$: 4340.46': 15.571857177261354, 'H11: 3770.63': 36.35470388379973, 'H10: 3797.90': 44.57326019926452, 'He I: 3819.62': 9.905552569765323, 'H9: 3835.38': 34.40655675545224, 'H8: 3889.05': 23.661919563763206}"
T24000logg4.0,"{'H$\\beta$: 4861.33': 121.88021265433345, 'He I: 4921.93': 54.23997569216856, 'He I: 5015.68': 9.952581053189652, 'He II: 5411.53': 63.48481246936725, 'He I: 5875.66': 4.890374175736349, 'He II: 4199.83': 4.68631764728975, 'H$\\gamma$: 4340.46': 18.947984370612108, 'H11: 3770.63': 39.932241001707226, 'H10: 3797.90': 49.38735117081751, 'He I: 3819.62': 12.517822045931382, 'H9: 3835.38': 39.16641637759292, 'H8: 3889.05': 28.77495939001541}","{'H$\\beta$: 4861.33': 121.20272287399261, 'He I: 4921.93': 52.91450894029569, 'He I: 5015.68': 9.551248085344294, 'He II: 5411.53': 63.4792095228534, 'He I: 5875.66': 4.046318853588702, 'He II: 4199.83': 4.682998588455253, 'H$\\gamma$: 4340.46': 18.86367327819575, 'H11: 3770.63': 39.771474336049714, 'H10: 3797.90': 49.12811484399308, 'He I: 3819.62': 12.317626175924222, 'H9: 3835.38': 38.97506425119882, 'H8: 3889.05': 28.676865023586778}"
T24000logg4.2,"{'H$\\beta$: 4861.33': 123.2428142344689, 'He I: 4921.93': 55.80148089893136, 'He I: 5015.68': 10.167813946350206, 'He II: 5411.53': 64.08995441747844, 'He I: 5875.66': 4.714221691984855, 'He II: 4199.83': 4.757043703106163, 'H$\\gamma$: 4340.46': 21.51588977564206, 'H11: 3770.63': 43.17616680346477, 'H10: 3797.90': 53.65565613363217, 'He I: 3819.62': 15.456120651881728, 'H9: 3835.38': 43.647283977000946, 'H8: 3889.05': 34.45454582699063}","{'H$\\beta$: 4861.33': 122.73254999257308, 'He I: 4921.93': 54.49219364578507, 'He I: 5015.68': 9.765340897759572, 'He II: 5411.53': 64.08218305494648, 'He I: 5875.66': 3.9357656773016405, 'He II: 4199.83': 4.753772287065059, 'H$\\gamma$: 4340.46': 21.4331895103502, 'H11: 3770.63': 43.02897081720427, 'H10: 3797.90': 53.410102999928895, 'He I: 3819.62': 15.24499370587401, 'H9: 3835.38': 43.464674028973135, 'H8: 3889.05': 34.3574066083946}"
T24000logg4.4,"{'H$\\beta$: 4861.33': 117.20969783506686, 'He I: 4921.93': 61.31559747582791, 'He I: 5015.68': 10.176975707518475, 'He II: 5411.53': 64.2202284844472, 'He I: 5875.66': 4.937492194346015, 'He II: 4199.83': 4.8179164864968715, 'H$\\gamma$: 4340.46': 23.009302503942656, 'H11: 3770.63': 42.67126171657993, 'H10: 3797.90': 53.55420021949707, 'He I: 3819.62': 18.2141058812378, 'H9: 3835.38': 45.01691141685914, 'H8: 3889.05': 37.42252650888251}","{'H$\\beta$: 4861.33': 116.85697294834034, 'He I: 4921.93': 59.96312501771884, 'He I: 5015.68': 9.777545370369229, 'He II: 5411.53': 64.21520015951668, 'He I: 5875.66': 4.204731771790667, 'He II: 4199.83': 4.814888576954994, 'H$\\gamma$: 4340.46': 22.93665819544248, 'H11: 3770.63': 42.551573082584376, 'H10: 3797.90': 53.343730806500794, 'He I: 3819.62': 18.005045202079664, 'H9: 3835.38': 44.85606313160854, 'H8: 3889.05': 37.337622592107095}"
T25000logg2.8,"{'H$\\beta$: 4861.33': 17.328124385546513, 'He I: 4921.93': 9.519262029928456, 'He I: 5015.68': 4.343424235854249, 'He II: 5411.53': 28.323166760078873, 'He I: 5875.66': 5.2426705495955, 'He II: 4199.83': 3.130157328377672, 'H$\\gamma$: 4340.46': 1.2191207883479456, 'H11: 3770.63': 4.1463171764419, 'H10: 3797.90': 4.405596344859349, 'He I: 3819.62': 1.573620688784027, 'H9: 3835.38': 2.3092543351454733, 'H8: 3889.05': 1.5971374099482059}","{'H$\\beta$: 4861.33': 16.253473795856827, 'He I: 4921.93': 8.979221768070099, 'He I: 5015.68': 4.0567046505627244, 'He II: 5411.53': 28.58341187901651, 'He I: 5875.66': 4.331171378573518, 'He II: 4199.83': 3.145137922622021, 'H$\\gamma$: 4340.46': 1.0938054226255742, 'H11: 3770.63': 3.9513371211842583, 'H10: 3797.90': 4.172562791226193, 'He I: 3819.62': 1.4987300692640848, 'H9: 3835.38': 2.1685100495468483, 'H8: 3889.05': 1.478585431879698}"
T25000logg3.0,"{'H$\\beta$: 4861.33': 39.391926314700186, 'He I: 4921.93': 31.30231785278773, 'He I: 5015.68': 7.230724529187511, 'He II: 5411.53': 31.15136336039684, 'He I: 5875.66': 4.668973257190475, 'He II: 4199.83': 2.407925743668289, 'H$\\gamma$: 4340.46': 3.895997570762745, 'H11: 3770.63': 13.602597890438677, 'H10: 3797.90': 15.653671535468897, 'He I: 3819.62': 2.5300757794901174, 'H9: 3835.38': 9.026676784842943, 'H8: 3889.05': 4.402913268807688}","{'H$\\beta$: 4861.33': 38.34089238899812, 'He I: 4921.93': 30.19129794201935, 'He I: 5015.68': 6.83975091089381, 'He II: 5411.53': 31.39020536919495, 'He I: 5875.66': 3.8564559379191596, 'He II: 4199.83': 2.422039760862697, 'H$\\gamma$: 4340.46': 3.7929832570480104, 'H11: 3770.63': 13.376120716525959, 'H10: 3797.90': 15.361503122861569, 'He I: 3819.62': 2.4297774006029544, 'H9: 3835.38': 8.838169113767508, 'H8: 3889.05': 4.265119135466394}"
