,vsini60,vsini85,vsini110,vsini135,vsini160,vsini185,vsini210,vsini235,vsini260
T15000logg2.0,24.553569102650307,18.681489438213532,14.74985977526964,12.07426175281131,10.252624752145833,9.132827658416387,8.528017991157732,8.30850279914349,8.37351782999954
T15000logg2.2,22.347264028281707,16.847517439502628,13.061093623235097,10.401750699299035,8.522381362522658,7.308006836153488,6.594125001725568,6.263366095113937,6.226210083688304
T15000logg2.4,21.406865849358862,16.396500735771955,12.903166271392736,10.41410187201818,8.623905927163356,7.441387216272431,6.722380209026743,6.362005964122961,6.2811788507945145
T15000logg2.6,21.0645713559556,16.676798004806898,13.590469479281353,11.370481177248898,9.758071590173746,8.681706735588321,8.018127749154175,7.676147887501837,7.586855604254085
T15000logg2.8,23.08387039946747,18.93609399616473,15.99437015975505,13.862042246715076,12.298473537333999,11.240904061692294,10.573221015397591,10.207663513154555,10.080153923692457
T15000logg3.0,25.320804441909903,21.898397626333498,19.43994832417055,17.63390878436075,16.292327330312165,15.372164316501475,14.77903548306344,14.438678368700392,14.297758442133956
T16000logg2.0,26.56919744718707,20.59923384237159,16.69997018953467,14.109758532396834,12.391277393372583,11.371629207611038,10.857037894465169,10.713072131004292,10.835934318490622
T16000logg2.2,24.379303069791433,18.303237810868048,14.168902449585646,11.3033881304404,9.305782176978724,8.034506501225405,7.302357933402216,6.975078238300413,6.953121605247119
T16000logg2.4,23.3034595319561,17.59635966976716,13.64705212607129,10.856932246512958,8.865574095316093,7.558018587612802,6.765283358016813,6.364641873209537,6.266894652050665
T16000logg2.6,22.89262645766157,17.676424990431705,14.02815504564035,11.422140690657292,9.538015157143581,8.280619421704062,7.4993490294506575,7.083372565833049,6.952931224140412
T16000logg2.8,22.966426510404247,18.40764280582925,15.19618978161336,12.887881253850832,11.209508470611242,10.084273400129822,9.381462392582252,9.003256788139959,8.879571173941304
T16000logg3.0,25.55305923649979,21.50773721334736,18.632460196943786,16.548853838427355,15.02145643432176,13.98672032338604,13.329054218432317,12.959715731264186,12.815975719727563
T17000logg2.2,25.100473684936063,18.972783432120373,14.84739265029337,12.024281536186425,10.088965093769765,8.88505639940806,8.219705239453345,7.953252364570471,7.981620817002561
T17000logg2.4,24.544816975784048,18.378422517410215,14.133771229403768,11.153046072449495,9.039863761309169,7.660736647406084,6.8311397848345345,6.415557100239615,6.316413816691693
T17000logg2.6,24.350422801573004,18.50110323507358,14.42971129982253,11.5359538248236,9.452324621609073,8.064178926271797,7.200514170374595,6.734942573934051,6.578561865335116
T17000logg2.8,24.544886314842024,19.19103039914868,15.433371418473724,12.742214387569081,10.78818489740086,9.473414751658336,8.643018674681459,8.181502283051215,8.008392678301307
T17000logg3.0,26.106595481114464,21.33563451111859,17.95876940229143,15.523812787008211,13.744708585515077,12.539917693448341,11.77160619958166,11.335155505620701,11.158102121191709
T17000logg3.2,32.62597650118069,28.277158361462195,25.149777326074776,22.86053166591992,21.157877357223086,19.97459345410944,19.185193910080642,18.692144567922178,18.43150167516902
T18000logg2.2,24.564584086355953,19.07443640243753,15.477780810806182,13.079630734680023,11.490999595767375,10.555177468650765,10.095942791568095,9.984986531713627,10.123069229052296
T18000logg2.4,23.48678446984666,17.573857754299688,13.56140840305958,10.777007770857587,8.833477776770529,7.59343950518115,6.879610114308613,6.559888115094112,6.535918386635226
T18000logg2.6,24.21932316086616,18.228961111050147,14.082994924804,11.15241440299013,9.058877597482189,7.677509909765955,6.832830104213942,6.393381402877348,6.265131447765696
T18000logg2.8,24.40594318175673,18.788075933847004,14.859909952642308,12.056715667780406,10.030381649726337,8.672758696804946,7.82185942926636,7.355715134290956,7.188625994039539
T18000logg3.0,25.9639222841238,20.778438756893674,17.11807840592268,14.486677376492302,12.569738449985797,11.273057452475824,10.447379264967692,9.979241010513165,9.79012288499718
T18000logg3.2,30.73263277566318,26.03703619071799,22.68164845518435,20.245350620058897,18.451921031044616,17.221591612308565,16.418611519404166,15.937822917355753,15.708488016178581
T18000logg3.4,43.86079805165549,39.41448907237419,36.166223826649905,33.74883321953216,31.914756338909907,30.601296433773932,29.683115706296658,29.059656780568915,28.66834106065096
T19000logg2.4,23.170164808445353,17.433846660125596,13.57780391468937,10.931982603616536,9.120013214821373,7.99680251767093,7.385849410070971,7.1543482759094505,7.200841648419547
T19000logg2.6,23.18284105882621,17.36232297852429,13.374254620509847,10.577641357912269,8.60280568068892,7.3206382202438265,6.561976632646867,6.197395447447503,6.130464830970202
T19000logg2.8,23.34683267222924,17.799110431029806,13.948028780750942,11.21436848969057,9.253197812687173,7.95325448298424,7.155512068616776,6.738588313831282,6.614848114837292
T19000logg3.0,24.669134220320988,19.413383063129693,15.72936818992501,13.094369029600898,11.186570940883483,9.906422772092652,9.104166521417143,8.664875888287979,8.507113026427819
T19000logg3.2,28.80666920263659,23.970802553930966,20.54203987774275,18.069827149384576,16.265708771413394,15.042655177559514,14.26195389010789,13.815699380147429,13.628981006580695
T19000logg3.4,39.583552833901194,35.13492796263242,31.924300615785015,29.566889570684186,27.808279697888356,26.57840725638998,25.750872703550478,25.2250251324611,24.9347610203679
T20000logg2.4,21.762051676432925,16.701591605860962,13.373876107167543,11.133581432756198,9.64118393242241,8.757114380621577,8.325586238527418,8.227543361573094,8.368269185075944
T20000logg2.6,22.03827811740856,16.500522161119257,12.74391201796208,10.12904426334916,8.307184201859053,7.148732052695868,6.492030027857596,6.211195873252015,6.209846399401489
T20000logg2.8,22.617091482642135,17.078252644615933,13.26055088987597,10.562719253248774,8.642400501379878,7.381689354388322,6.624073415092777,6.246910205749632,6.158847590667311
T20000logg3.0,23.19121126231068,18.0267907969392,14.439688983261915,11.888508398368963,10.055929407644063,8.840029513131356,8.095580221429866,7.709105787192083,7.59774225230799
T20000logg3.2,26.394322607667966,21.569902504601295,18.182179746739628,15.75654529455839,14.001729202917634,12.82694048257454,12.095890613907518,11.701416666293277,11.566441900654358
T20000logg3.4,35.26960838987595,30.810657591625564,27.63029128299581,25.323352102367696,23.62948211181536,22.471618101102408,21.724183773343494,21.286748783484917,21.088872660300737
T20000logg3.6,56.74473010720112,52.617794577450454,49.58436477208992,47.31236979100644,45.578918841930104,44.3282171719443,43.44739416679134,42.84228294030767,42.45279999567412
T21000logg2.6,20.04968555825861,15.123943436779232,11.84069474768745,9.587291828998913,8.048425959302234,7.102435535232841,6.606675846182821,6.447530271447328,6.536056979791833
T21000logg2.8,20.78077726511423,15.600857023294516,12.072808292607688,9.59763851770425,7.855269535060817,6.731322645025192,6.080989553396875,5.7885616757649725,5.765328600406405
T21000logg3.0,21.948657368898196,16.717774463441508,13.086150748922062,10.496323794642864,8.634574652901373,7.394654119344447,6.635232604129375,6.24161444685826,6.126763394480362
T21000logg3.2,22.08206228539223,17.11051377011363,13.627590407546798,11.129180463861294,9.319643044577377,8.10506374019058,7.350046287222635,6.945582802410304,6.81080062889637
T21000logg3.4,22.651182754282065,17.95017818797937,14.618116668328916,12.212220774263283,10.458501753717968,9.272173537679333,8.525097192821365,8.113807489117043,7.961963304638505
T21000logg3.6,23.374216538451225,19.074348125867292,15.997740816651628,13.766400373129878,12.137184889284098,11.036701549929083,10.346050555875394,9.968641598657847,9.833367083661251
T21000logg3.8,26.80010782647703,22.857396877741852,19.991403396980147,17.89076869469136,16.34437941583599,15.2907861660239,14.62189481264385,14.248202369175033,14.102483245306694
T22000logg2.6,19.821295842116545,15.006528607768827,11.779253622013833,9.573519646872239,8.082281870466364,7.179603231697657,6.72696440322452,6.610409985749859,6.740258062027441
T22000logg2.8,19.407532539434715,14.54789226274442,11.268339243972871,8.988233192597736,7.404081557534472,6.40395198586765,5.852690959319355,5.640558543767308,5.6817278030459635
T22000logg3.0,19.515947059256515,14.795303266310244,11.590897539520714,9.340839714198351,7.752870639863096,6.72597391432048,6.133351432953191,5.871069687773275,5.858302712344847
T22000logg3.2,20.988991470039082,16.172139914031057,12.826569768111609,10.438160609797443,8.719588705961192,7.576549055314792,6.880742056506623,6.52675714109082,6.433315243894536
T22000logg3.4,21.644313135795866,17.018990407461377,13.76278615197016,11.418113118508412,9.716020387697021,8.570248231103237,7.858683139136899,7.480041968881137,7.356053475420406
T22000logg3.6,21.587460134847042,17.359445652404933,14.35929160023111,12.192583574942553,10.618154514159166,9.562103668163019,8.910790809056264,8.570181948036225,8.4682925314044
T22000logg3.8,23.987361204511778,20.160951584941415,17.416934094892255,15.424033030097,13.970785375586303,12.994809792501233,12.392510991321915,12.07748594108253,11.983288602918442
T22000logg4.0,30.700628507586334,27.146847346220742,24.556666513817905,22.65504310132673,21.256930818075656,20.30986562671523,19.71799030709122,19.39986307083194,19.291823416935507
T23000logg2.8,18.356825229300668,13.732893995269166,10.613498196566479,8.455280300738906,6.969954618151615,6.047502540841936,5.561180164688385,5.405214829141261,5.49507280377318
T23000logg3.0,18.895656120412664,14.230033025372203,11.05497017593106,8.827443791597968,7.261527266348747,6.255364615565411,5.684972585445834,5.446773048500286,5.458210782075934
T23000logg3.2,19.87276176667249,15.249892368999532,12.060708413667186,9.793391727216084,8.17128219932968,7.100972153949888,6.462624792152998,6.155508683512802,6.09927096565664
T23000logg3.4,20.213902562107123,15.807076179512253,12.741420525168735,10.5507719662234,8.974756339979328,7.928056276306894,7.296249116729428,6.9830762796085315,6.911775522030241
