,vsini70,vsini80,vsini90,vsini100,vsini110,vsini120,vsini130,vsini140,vsini150,vsini160,vsini170,vsini180,vsini190,vsini200,vsini210,vsini220,vsini230,vsini240,vsini250,vsini260,vsini270,vsini280,vsini290,vsini300,vsini310,vsini320,vsini330
T15000logg2.0,12.880688855639606,11.359474170405692,10.078930053961193,8.929990881647397,7.994978479971501,7.198383701702005,6.482004980202723,5.891368994500279,5.388952137997004,4.944614885608919,4.583220349576179,4.283787460281648,4.028731191415927,3.8279009299057805,3.6683115637149943,3.5395882911114662,3.44462153960527,3.3750806792182146,3.3247077596161327,3.2936619837047783,3.2777754035852698,3.274384469089131,3.2837038154806426,3.3030036820390176,3.329912323249871,3.363816899313822,3.4015778925812086
T15000logg2.2,18.25916669433495,16.418247509664997,14.848882923756406,13.42549562387887,12.253366011005111,11.24150924084025,10.31849813923197,9.544306670524461,8.872108491322363,8.262638479731235,7.751648284280948,7.312663056014141,6.921888652138167,6.597367047358057,6.322167592742848,6.081143919499095,5.883326581949786,5.717727255974675,5.5744427374418555,5.458279030105818,5.363184848323826,5.283542647054711,5.222779311260894,5.176690915803842,5.140576628590471,5.116088199215753,5.099478319544285
T15000logg2.4,18.338583089849486,16.737366806397453,15.368269171112726,14.122191707311995,13.092259712550915,12.198984968435783,11.379375758874573,10.68795743858676,10.083522822035915,9.530799806716704,9.0632680436114,8.657504138242162,8.291781714112462,7.984061491739016,7.719212584549966,7.483009391037131,7.285191921278232,7.1158628313440415,6.965418390125445,6.839595140812573,6.732855250434156,6.639423508232595,6.563572924696911,6.501551798241097,6.448578696551423,6.406809696899419,6.373151026500322
T15000logg2.6,16.390432507222283,15.108739871145087,14.01866899081287,13.029680731480138,12.213744626795604,11.506517616748312,10.857198952822047,10.309551185575886,9.831305505013699,9.394602048847833,9.026240422983424,8.707790127826325,8.421919693519476,8.182485059902945,7.977661567869495,7.796123043603335,7.6451368511544535,7.517043275187694,7.404236721998526,7.3109340533040506,7.232974050236547,7.165858615270528,7.1125861943852735,7.070339368956727,7.0352457256112,7.008401361389192,6.9875960342609735
T15000logg2.8,18.169128332390876,16.94581890933512,15.904049113430089,14.957385231110015,14.175004956911742,13.495277489392569,12.8692826865402,12.339646659717697,11.87534599955109,11.449238660351245,11.087847663529779,10.773353401766515,10.488671987609962,10.248107784324837,10.040131042387081,9.85334378319633,9.695724033555857,9.559743627754722,9.437563415329198,9.334150751001632,9.245306371292777,9.166150642744428,9.100300410891549,9.04502468851899,8.996140992210764,8.955150639383335,8.920152991880853
T15000logg3.0,18.21722541631484,17.24710400235558,16.41814980777126,15.662117651635178,15.03494652460113,14.487947444485894,13.981897494702253,13.552098978379268,13.174008098477223,12.825573848160778,12.52890251721409,12.269703510140213,12.033863515701626,11.83363541253303,11.659668209653463,11.502352758405765,11.368791029579821,11.252754329437533,11.147463729118378,11.05754936585054,10.979431483682168,10.90876427645958,10.848926785882265,10.797703392333016,10.751347554966253,10.711327843563899,10.676304635524758
T16000logg2.0,12.404272010632395,10.897884014151765,9.644122835547313,8.527718669751126,7.629041414924547,6.872184334636457,6.196680859830877,5.64564975640761,5.182545059596543,4.777188120408827,4.45280526773852,4.18958628738149,3.9706523751765723,3.803994912800583,3.677449817773113,3.5814245118073194,3.5169811817038865,3.476300674640574,3.453822395146888,3.448307953539959,3.456087505407679,3.4752059566013,3.5051433122499707,3.5434012719105095,3.5881345003810123,3.6381799871686167,3.690286828721609
T16000logg2.2,14.844571267685925,13.148285948127251,11.726451884154699,10.445315545013015,9.404767777297332,8.519508727514031,7.71774856512155,7.055122719243352,6.490446890519519,5.98661358701813,5.574514813771915,5.231053026442951,4.933939853752566,4.696056210003194,4.50316867374148,4.342100095492754,4.2179567186425935,4.121820860989566,4.045563225091262,3.9911219574320436,3.953878337749453,3.929876468166151,3.92054865556233,3.922607522505037,3.9325269338004842,3.950549674266478,3.973180023825009
T16000logg2.4,17.001542766191644,15.269940582174444,13.810784941949843,12.487832865117891,11.407535012891495,10.48244102300202,9.637771769402368,8.934299485803304,8.328983299593112,7.7820129828869415,7.3284882282084265,6.944000693825666,6.604090224103826,6.325162616455299,6.092009304084172,5.88961099870746,5.726018580002033,5.591721039925644,5.477107882781614,5.386469502931333,5.3147130680206764,5.256634816913769,5.215054600254005,5.186477159945316,5.166389933317569,5.155798726337834,5.151489210848494
T16000logg2.6,18.577116072996397,16.915717677186738,15.508677156860731,14.228972593049964,13.179052817395762,12.27560467466416,11.447423792514524,10.753765945886862,10.152873477619874,9.60612945980302,9.148774947820938,8.757244137379386,8.407778001853142,8.11763870054945,7.871915822940909,7.655627732600444,7.4774874796992785,7.328122497923539,7.197819026838458,7.091455490836174,7.003993085827872,6.929983846295827,6.8723049285116415,6.827725525444637,6.791405835177157,6.7641172510439,6.743264124544388
