,vsini60,vsini85,vsini110,vsini135,vsini160,vsini185,vsini210,vsini235,vsini260
T15000logg2.0,1607.9065831056587,1376.187402601166,1218.054321990268,1110.00308037595,1036.2812550192184,987.6364183033755,954.737469371329,932.1729950803575,917.5301676718168
T15000logg2.2,2215.996657703844,1981.1685669092283,1808.910535358591,1679.2932405022632,1579.4302377579118,1503.2494156833568,1442.8391141777697,1393.5469616519795,1354.0519596018848
T15000logg2.4,2560.3663690937287,2359.9675696300715,2209.042772684218,2091.4531191650685,1996.660942416922,1920.3255925392832,1856.13925701672,1800.476471356091,1752.9733815679756
T15000logg2.6,2682.6418452572057,2513.9250098024263,2386.641714625836,2286.445785596154,2204.321130350805,2136.795168219224,2078.6695519026193,2026.9574884771594,1981.6663465006511
T15000logg2.8,3133.467677419833,2973.5934030255476,2851.9676056352173,2754.9088830595265,2673.744238589279,2605.298279340217,2544.7233682224155,2489.2449761019657,2439.174997534282
T15000logg3.0,3444.8769890381623,3316.495198781776,3216.982121866995,3135.9227252925066,3066.5665434862417,3006.564733594133,2952.039379951062,2900.7519995090533,2853.1943176967743
T16000logg2.0,1439.4980903028393,1207.6190752384161,1058.086044384813,962.9935060465928,903.6534164868312,868.6104087114737,847.9448448050802,836.1255834348096,830.543633648836
T16000logg2.2,1769.9183191530547,1540.1481925973035,1382.2105348156567,1271.8433101875123,1193.748986523385,1139.4872485935346,1100.252920139435,1070.9682820420612,1049.7533971869946
T16000logg2.4,2151.560870682853,1935.5272666253481,1780.9920063421475,1666.7356330153243,1579.7692067551484,1513.8159064020635,1461.4336519135056,1418.3890602876031,1383.660251182687
T16000logg2.6,2548.3111933795703,2349.613786257514,2203.450043115547,2091.591210181182,2002.648810416937,1931.57838790741,1871.9693769261676,1820.2585894471204,1776.0916445327082
T16000logg2.8,2907.377246857659,2735.3464234514404,2605.934384917575,2504.4025419681193,2421.22864191304,2352.4342214737812,2292.598822883827,2238.743172586327,2190.9604526339494
T16000logg3.0,3240.6380253156976,3091.8181031756703,2978.1774674005883,2887.4888611491224,2811.6991019971274,2747.578583274411,2690.4494429953406,2637.7354370207936,2589.76047009515
T16000logg3.2,3700.9458770538977,3554.817831174018,3442.945164898857,3353.2999192395305,3277.791710462924,3213.084029989996,3154.533191411019,3099.6185503483825,3048.780228183831
T17000logg2.2,1709.761500984652,1470.0025662231455,1315.121708943378,1212.657072198584,1143.906212789363,1098.630655590386,1067.4013428627022,1045.0357101760549,1029.604244255228
T17000logg2.4,2019.2842234711165,1790.7931667934026,1632.774873450491,1519.72881268224,1436.6553548639372,1375.9573423564202,1329.4145985631371,1292.3277183149578,1263.3746166010942
T17000logg2.6,2398.2119006145995,2186.9839223280674,2035.5824881213057,1922.3083016623632,1834.2355186044838,1765.4787759906424,1709.0765582794854,1661.125405737032,1621.0251262710979
T17000logg2.8,2743.7605633337826,2551.976018097347,2410.9634963875155,2302.607141921598,2215.66665799206,2145.2846326541276,2085.325451055484,2032.3978926557559,1986.3769471494516
T17000logg3.0,3102.123310549632,2929.5949131278576,2799.960010304976,2698.1972582698613,2614.6403970268825,2545.2032044985854,2484.4386701596754,2429.380663803843,2380.161413339745
T17000logg3.2,3461.5503987736097,3307.959944968704,3190.4760903958086,3096.805866294386,3018.532863085811,2952.1295647880156,2892.7186842088818,2837.644537715063,2787.2705816502253
T18000logg2.2,1598.8579750623405,1367.1347997485236,1218.0261005487714,1120.0675004686252,1055.6021966455405,1015.0417012239923,989.078291144465,972.1976300277422,961.9727803598339
T18000logg2.4,1778.3781393579004,1557.6565986725607,1414.7169103647554,1318.262055762626,1251.5238509675135,1205.7595138680651,1172.6152278593718,1147.4467231380827,1128.8747533272615
T18000logg2.6,2328.542969601085,2109.962900609098,1954.456204817195,1838.3836768914387,1748.222378799971,1678.2122727769774,1621.3901920329768,1573.6006905745087,1534.0560564554623
T18000logg2.8,2546.572186896964,2346.8865740602914,2204.354063547246,2097.1754142645823,2012.7959602923183,1945.8660663511555,1889.986437209466,1841.5138352698802,1800.176551088419
T18000logg3.0,2845.5477237674986,2672.437204773498,2545.1311375044784,2446.2309577925193,2365.476181525354,2298.9964694073506,2241.540151354359,2190.093054533701,2144.6662073040097
